sample,uvp,location,latitude,uvb,t_avg
225,0.220719688287875,cvd1,50.41845,9482.3046875,4.8281667065
226,0.32568368712947,cvd1,50.41845,9482.3046875,4.8281667065
227,0.366494312306101,cvd1,50.41845,9482.3046875,4.8281667065
228,0.419016566795911,cvd2,50.41275,9482.3046875,4.8321665817
229,0.487346024636058,cvd2,50.41275,9482.3046875,4.8321665817
230,0.377241561181435,cvd2,50.41275,9482.3046875,4.8321665817
231,0.571463178294574,cvd2,50.41275,9482.3046875,4.8321665817
232,0.443669985775249,cvd2,50.41275,9482.3046875,4.8321665817
233,0.34347317399298,cvd2,50.41275,9482.3046875,4.8321665817
234,0.395833333333333,cvd2,50.41275,9482.3046875,4.8321665817
235,0.310215404699739,cvd2,50.41275,9482.3046875,4.8321665817
236,0.63741073485372,cvd2,50.41275,9482.3046875,4.8321665817
237,0.459060857772504,cvd2,50.41275,9482.3046875,4.8321665817
238,0.564613246873553,cvd2,50.41275,9482.3046875,4.8321665817
239,0.225648380542608,stu1,52.99602,8816.2626953125,8.9156666497
240,0.427507783944768,stu1,52.99602,8816.2626953125,8.9156666497
241,0.387342157310208,stu1,52.99602,8816.2626953125,8.9156666497
242,0.518206039076377,stu1,52.99602,8816.2626953125,8.9156666497
243,0.628848484848485,stu1,52.99602,8816.2626953125,8.9156666497
244,0.349660889223813,stu1,52.99602,8816.2626953125,8.9156666497
245,0.257604562737643,stu1,52.99602,8816.2626953125,8.9156666497
246,0.532382203867092,stu1,52.99602,8816.2626953125,8.9156666497
247,0.48068303094984,stu1,52.99602,8816.2626953125,8.9156666497
248,0.276497695852535,stu1,52.99602,8816.2626953125,8.9156666497
249,0.376284584980237,stu1,52.99602,8816.2626953125,8.9156666497
250,0.457643758765778,stu2,52.99863,8816.2626953125,8.9156666497
251,0.424388815693164,stu2,52.99863,8816.2626953125,8.9156666497
252,0.469189189189189,stu2,52.99863,8816.2626953125,8.9156666497
253,0.434024266936299,stu2,52.99863,8816.2626953125,8.9156666497
254,0.240174267704857,stu2,52.99863,8816.2626953125,8.9156666497
255,0.38452842377261,stu2,52.99863,8816.2626953125,8.9156666497
256,0.336669874879692,stu2,52.99863,8816.2626953125,8.9156666497
257,0.415449368655608,stu2,52.99863,8816.2626953125,8.9156666497
258,0.355228586442459,stu2,52.99863,8816.2626953125,8.9156666497
259,0.458223394898857,stu2,52.99863,8816.2626953125,8.9156666497
260,0.602514506769826,put,54.67203,9097.0107421875,8.1899999479
261,0.350559750065087,put,54.67203,9097.0107421875,8.1899999479
262,0.295433145009416,put,54.67203,9097.0107421875,8.1899999479
263,0.672617374191735,put,54.67203,9097.0107421875,8.1899999479
264,0.300800894021233,nar,54.57512,8945.4560546875,8.069000072
265,0.289638258736971,nar,54.57512,8945.4560546875,8.069000072
266,0.363645662847791,nar,54.57512,8945.4560546875,8.069000072
267,0.357536641118731,nar,54.57512,8945.4560546875,8.069000072
268,0.405730456314114,nar,54.57512,8945.4560546875,8.069000072
269,0.481151733282819,nar,54.57512,8945.4560546875,8.069000072
270,0.411444619975426,nar,54.57512,8945.4560546875,8.069000072
271,0.596653456627037,nar,54.57512,8945.4560546875,8.069000072
272,0.37636684303351,nar,54.57512,8945.4560546875,8.069000072
273,0.285816108339273,nar,54.57512,8945.4560546875,8.069000072
274,0.333651278138115,nar,54.57512,8945.4560546875,8.069000072
275,0.583047266965936,nar,54.57512,8945.4560546875,8.069000072
276,0.371132537055691,her,54.56878,8945.4560546875,7.873369654
277,0.290371029648996,her,54.56878,8945.4560546875,7.873369654
278,0.573998560805949,her,54.56878,8945.4560546875,7.873369654
279,0.651577199778639,her,54.56878,8945.4560546875,7.873369654
280,0.509941695320676,her,54.56878,8945.4560546875,7.873369654
281,0.522690437601297,her,54.56878,8945.4560546875,7.873369654
282,0.305014210312627,her,54.56878,8945.4560546875,7.873369654
283,0.240203611217826,her,54.56878,8945.4560546875,7.873369654
284,0.575725312749534,her,54.56878,8945.4560546875,7.873369654
285,0.500693000693001,her,54.56878,8945.4560546875,7.873369654
286,0.464085974339292,bes,50.18543,9880.0615234375,8.0910000255
287,0.616632860040568,bes,50.18543,9880.0615234375,8.0910000255
288,0.494196843082637,bes,50.18543,9880.0615234375,8.0910000255
289,0.667723669309173,bes,50.18543,9880.0615234375,8.0910000255
290,0.78725514505331,bes,50.18543,9880.0615234375,8.0910000255
291,0.466988727858293,bes,50.18543,9880.0615234375,8.0910000255
292,0.631745629592095,bes,50.18543,9880.0615234375,8.0910000255
293,0.56855679878627,bes,50.18543,9880.0615234375,8.0910000255
294,0.504778839742165,bes,50.18543,9880.0615234375,8.0910000255
295,0.43433417373367,bes,50.18543,9880.0615234375,8.0910000255
296,0.674240667748667,bes,50.18543,9880.0615234375,8.0910000255
297,0.553628262253342,por,46.48545,10983.052734375,1.4148333517
298,0.451873622336517,por,46.48545,10983.052734375,1.4148333517
299,0.597170893335032,por,46.48545,10983.052734375,1.4148333517
300,0.670773442847365,por,46.48545,10983.052734375,1.4148333517
301,0.574675324675325,por,46.48545,10983.052734375,1.4148333517
302,0.552983436439832,por,46.48545,10983.052734375,1.4148333517
303,0.679000324569945,por,46.48545,10983.052734375,1.4148333517
304,0.591225626740947,por,46.48545,10983.052734375,1.4148333517
305,0.58581173260573,por,46.48545,10983.052734375,1.4148333517
306,0.520731270163699,por,46.48545,10983.052734375,1.4148333517
307,0.74151212553495,por,46.48545,10983.052734375,1.4148333517
308,0.591620727673649,por,46.48545,10983.052734375,1.4148333517
309,0.447303586093622,por,46.48545,10983.052734375,1.4148333517
310,0.37369985141159,por,46.48545,10983.052734375,1.4148333517
311,0.625410733844469,por,46.48545,10983.052734375,1.4148333517
312,0.595018764926646,por,46.48545,10983.052734375,1.4148333517
313,0.676977989292088,por,46.48545,10983.052734375,1.4148333517
314,0.666666666666667,por,46.48545,10983.052734375,1.4148333517
315,0.645846477392219,por,46.48545,10983.052734375,1.4148333517
316,0.51927384180125,tre,46.614,10765.9375,1.7530000322
317,0.700228631727049,tre,46.614,10765.9375,1.7530000322
318,0.712281209315782,tre,46.614,10765.9375,1.7530000322
319,0.651510791366906,tre,46.614,10765.9375,1.7530000322
320,0.590609555189456,tre,46.614,10765.9375,1.7530000322
321,0.704103671706264,tre,46.614,10765.9375,1.7530000322
322,0.690277995916444,tre,46.614,10765.9375,1.7530000322
323,0.595061956722767,tre,46.614,10765.9375,1.7530000322
324,0.65477021234174,tre,46.614,10765.9375,1.7530000322
325,0.684551049392457,tre,46.614,10765.9375,1.7530000322
326,0.683170334148329,tre,46.614,10765.9375,1.7530000322
327,0.537390150887083,bec,50.50953,9357.474609375,5.7658333244
328,0.4021875,bec,50.50953,9357.474609375,5.7658333244
329,0.553398058252427,bec,50.50953,9357.474609375,5.7658333244
330,0.413883677298311,bec,50.50953,9357.474609375,5.7658333244
331,0.328203950390446,bec,50.50953,9357.474609375,5.7658333244
